Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Frank Baum & Country Green	Rennen mit der Zeit				keine	2	2026-07-15T10:48:54.000Z	keine lokale Zuordnung gefunden
Frank Baum & Country Green	Wie ein Stern in der Nacht				keine	1	2026-07-15T16:43:53.000Z	keine lokale Zuordnung gefunden
Frankie Miller	Darlin'				keine	1	2026-07-14T19:47:41.000Z	keine lokale Zuordnung gefunden
Freddy Fender	Before the next teardrop falls				keine	1	2026-07-14T09:47:45.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Ain't going down ('Til the sun comes up)				keine	1	2026-07-14T20:28:38.000Z	keine lokale Zuordnung gefunden
Garth Brooks	American Honky-Tonk Bar Association				keine	1	2026-07-13T19:00:36.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Beer run (feat. George Jones)				keine	1	2026-07-15T12:57:07.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Callin' Baton Rouge				keine	1	2026-07-14T03:11:19.000Z	keine lokale Zuordnung gefunden
Garth Brooks	If tomorrow never comes				keine	1	2026-07-15T04:11:44.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Papa loved Mama				keine	1	2026-07-14T09:16:08.000Z	keine lokale Zuordnung gefunden
Garth Brooks	The fever				keine	1	2026-07-15T06:58:18.000Z	keine lokale Zuordnung gefunden
Garth Brooks	The river				keine	1	2026-07-15T01:42:19.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Two of a kind, workin' on a full house				keine	2	2026-07-14T17:31:46.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Two Pina Coladas				keine	1	2026-07-14T23:09:10.000Z	keine lokale Zuordnung gefunden
Garth Brooks	We shall be free				keine	1	2026-07-13T21:40:35.000Z	keine lokale Zuordnung gefunden
Garth Brooks	What she's doing now				keine	1	2026-07-14T06:16:57.000Z	keine lokale Zuordnung gefunden
Garth Brooks	When you come back to me again (from frequency)				keine	1	2026-07-14T00:46:20.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Workin' for livin' (feat. Huey Lewis)				keine	1	2026-07-14T11:42:47.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Wrapped Up In You				keine	1	2026-07-15T15:13:27.000Z	keine lokale Zuordnung gefunden
Gavin Adcock	Never Call Again				keine	3	2026-07-15T15:38:20.000Z	keine lokale Zuordnung gefunden
George Birge	Mind on you				keine	1	2026-07-14T01:49:05.000Z	keine lokale Zuordnung gefunden
George Jones & Johnny Paycheck	Maybelline				keine	1	2026-07-14T20:52:33.000Z	keine lokale Zuordnung gefunden
