Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
Elvis Presley	Viva Las Vegas				keine	1	2026-07-15T08:34:45.000Z	keine lokale Zuordnung gefunden
Emerson, Lake & Palmer	Lucky Man				keine	1	2026-07-15T04:17:55.000Z	keine lokale Zuordnung gefunden
Emerson, Lake & Palmer	Take a Pebble				keine	1	2026-07-14T02:34:10.000Z	keine lokale Zuordnung gefunden
Emerson, Lake & Palmer	Tank [Instrumental]				keine	1	2026-07-14T19:53:45.000Z	keine lokale Zuordnung gefunden
Emerson, Lake &amp/Palmer	Lucky Man				keine	2	2026-07-15T14:01:18.000Z	keine lokale Zuordnung gefunden
Emmylou Harris	Love Hurts				keine	1	2026-07-13T18:47:48.000Z	keine lokale Zuordnung gefunden
Epitaph	East of the Moon				keine	1	2026-07-15T02:10:22.000Z	keine lokale Zuordnung gefunden
Eric Clapton	Pilgrim				keine	1	2026-07-14T03:34:33.000Z	keine lokale Zuordnung gefunden
Etta James	Something's Got A Hold On Me				keine	1	2026-07-15T06:46:34.000Z	keine lokale Zuordnung gefunden
Etta James	Stormy Weather				keine	1	2026-07-14T12:41:53.000Z	keine lokale Zuordnung gefunden
Fiddler's Green	All This Feelings				keine	1	2026-07-15T09:03:45.000Z	keine lokale Zuordnung gefunden
Fiddlers Green	Midnight Rambler				keine	2	2026-07-15T01:23:53.000Z	keine lokale Zuordnung gefunden
Fleetwood Mac	Albatross				keine	2	2026-07-15T11:22:15.000Z	keine lokale Zuordnung gefunden
Fleetwood Mac	Isn`t Midnight				keine	1	2026-07-13T23:57:29.000Z	keine lokale Zuordnung gefunden
Flying Colors	Infinite Fire				keine	1	2026-07-15T16:37:33.000Z	keine lokale Zuordnung gefunden
Flying Colors	Kayla				keine	1	2026-07-15T02:16:15.000Z	keine lokale Zuordnung gefunden
France Gall	Zwei Apfelsinen im Haar				keine	1	2026-07-14T05:27:57.000Z	keine lokale Zuordnung gefunden
Frankie Goes To Hollywood	Relax				keine	1	2026-07-14T09:35:47.000Z	keine lokale Zuordnung gefunden
Frankie Miller	Darlin'				keine	1	2026-07-15T13:08:38.000Z	keine lokale Zuordnung gefunden
Freddie Mercury	Mr. Bad Guy				keine	2	2026-07-15T07:11:39.000Z	keine lokale Zuordnung gefunden
Freddie Mercury	The Great Pretender				keine	1	2026-07-15T06:32:08.000Z	keine lokale Zuordnung gefunden
Free	All Right Now				keine	4	2026-07-15T07:46:51.000Z	keine lokale Zuordnung gefunden
Free	Come Together in the Morning				keine	1	2026-07-14T07:57:50.000Z	keine lokale Zuordnung gefunden
Free	Mr. Big				keine	1	2026-07-14T20:49:37.000Z	keine lokale Zuordnung gefunden
Free	Wishing Well				keine	1	2026-07-15T14:53:02.000Z	keine lokale Zuordnung gefunden
Frumpy	Goin´to The Country				keine	1	2026-07-13T18:31:21.000Z	keine lokale Zuordnung gefunden
Garth Brooks	Callin' Baton Rouge				keine	1	2026-07-14T13:37:04.000Z	keine lokale Zuordnung gefunden
Gary Moore	Over The Hills And Far Away				keine	2	2026-07-15T03:39:51.000Z	keine lokale Zuordnung gefunden
Gary Moore	Rest In Peace				keine	1	2026-07-14T03:24:22.000Z	keine lokale Zuordnung gefunden
Gary Moore & Phil Lynott	Parisian Walkways				keine	1	2026-07-15T11:14:38.000Z	keine lokale Zuordnung gefunden
Gary Puckett & The Union Gap	Young Girl				keine	1	2026-07-14T05:55:07.000Z	keine lokale Zuordnung gefunden
Gazebo	I Like Chopin				keine	1	2026-07-14T09:47:38.000Z	keine lokale Zuordnung gefunden
Geisterreiter	Geisterreiter				keine	1	2026-07-13T20:05:58.000Z	keine lokale Zuordnung gefunden
Genesis	Carpet crawlers				keine	2	2026-07-15T15:25:37.000Z	keine lokale Zuordnung gefunden
Genesis	Supper's Ready				keine	1	2026-07-14T02:46:44.000Z	keine lokale Zuordnung gefunden
Genesis	The Cinema Show				keine	1	2026-07-14T18:00:25.000Z	keine lokale Zuordnung gefunden
Genesis	The Return Of The Giant Hogweed				keine	1	2026-07-14T16:50:13.000Z	keine lokale Zuordnung gefunden
George Harrison	All Those Years Ago				keine	1	2026-07-15T11:25:20.000Z	keine lokale Zuordnung gefunden
George Harrison	Here Comes the Moon				keine	1	2026-07-13T21:52:07.000Z	keine lokale Zuordnung gefunden
George Harrison	I've Got My Mind Set On You				keine	1	2026-07-15T12:19:52.000Z	keine lokale Zuordnung gefunden
George Harrison	My Sweet Lord				keine	1	2026-07-15T05:18:31.000Z	keine lokale Zuordnung gefunden
George Jones	Rock It				keine	2	2026-07-15T07:09:24.000Z	keine lokale Zuordnung gefunden
George McCrae	I Can't Leave You alone				keine	2	2026-07-15T15:07:34.000Z	keine lokale Zuordnung gefunden
Glen Campbell	Any Trouble				keine	1	2026-07-13T19:22:39.000Z	keine lokale Zuordnung gefunden
Glenn Hughes	Burn				keine	1	2026-07-14T22:19:48.000Z	keine lokale Zuordnung gefunden
Gloria Gaynor	I Am What I Am				keine	1	2026-07-14T08:59:16.000Z	keine lokale Zuordnung gefunden
Gloria Gaynor	Never Can Say Goodbye				keine	1	2026-07-15T15:57:04.000Z	keine lokale Zuordnung gefunden
Golden Earring	Radar Love				keine	2	2026-07-15T15:20:30.000Z	keine lokale Zuordnung gefunden
Golden Earring	Twilight Zone				keine	1	2026-07-14T22:11:49.000Z	keine lokale Zuordnung gefunden
Gordon Lightfoot	Sundown				keine	2	2026-07-15T09:21:39.000Z	keine lokale Zuordnung gefunden
Gotthard	Hush				keine	1	2026-07-14T21:54:21.000Z	keine lokale Zuordnung gefunden
Gotthard	Mighty Quinn				keine	1	2026-07-14T22:26:32.000Z	keine lokale Zuordnung gefunden
Graham Bonney	Siebenmeilenstiefel				keine	1	2026-07-14T04:31:17.000Z	keine lokale Zuordnung gefunden
Greg Kihn Band	Jeopardy				keine	1	2026-07-14T09:04:58.000Z	keine lokale Zuordnung gefunden
Gregor Hilden	Late Rent Shuffle				keine	1	2026-07-15T12:09:56.000Z	keine lokale Zuordnung gefunden
Grobschnitt	Konige der Welt				keine	1	2026-07-14T19:32:14.000Z	keine lokale Zuordnung gefunden
Guns 'n' Roses	November Rain				keine	1	2026-07-15T05:56:51.000Z	keine lokale Zuordnung gefunden
Gunter Gabriel	Hey Boss, ich brauch mehr Geld				keine	1	2026-07-15T10:26:29.000Z	keine lokale Zuordnung gefunden
Halifax	Nightmare				keine	1	2026-07-13T23:53:36.000Z	keine lokale Zuordnung gefunden
Hank Williams	Move it on over				keine	1	2026-07-15T07:27:19.000Z	keine lokale Zuordnung gefunden
Harpo	Moviestar				keine	1	2026-07-15T15:00:40.000Z	keine lokale Zuordnung gefunden
Hayseed Dixie	Bohemian Rhapsody				keine	2	2026-07-15T09:36:13.000Z	keine lokale Zuordnung gefunden
Herman's Hermits	No Milk Today				keine	1	2026-07-14T04:41:41.000Z	keine lokale Zuordnung gefunden
Hot Chocolate	Every 1's a winner				keine	1	2026-07-14T07:16:59.000Z	keine lokale Zuordnung gefunden
Howlin' Wolf	I Ain't Superstitious				keine	1	2026-07-15T07:24:24.000Z	keine lokale Zuordnung gefunden
Huey Lewis & The News	The Power of Love				keine	1	2026-07-14T08:09:57.000Z	keine lokale Zuordnung gefunden
Ian Gillan	Five Moons				keine	1	2026-07-15T04:32:55.000Z	keine lokale Zuordnung gefunden
Ike & Tina Turner	River Deep Mountain High				keine	1	2026-07-14T05:37:08.000Z	keine lokale Zuordnung gefunden
Impellitteri	Endless Nights				keine	1	2026-07-14T20:04:39.000Z	keine lokale Zuordnung gefunden
Infamous Stringdusters	Magic #9				keine	1	2026-07-13T20:08:48.000Z	keine lokale Zuordnung gefunden
IQ	Frequency				keine	1	2026-07-15T16:00:03.000Z	keine lokale Zuordnung gefunden
Iron Maiden	Run to the hills				keine	1	2026-07-14T20:29:08.000Z	keine lokale Zuordnung gefunden
