Interpret	Lied	Tanz aus Radio	Tänze aus lokaler Datenbank	Kandidaten	Sicherheit	Abspielungen	Zuletzt gespielt	Abgleich
David Nail	Nights On Fire				keine	1	2026-07-15T05:30:45.000Z	keine lokale Zuordnung gefunden
David Nail	Whatever She's Got				keine	1	2026-07-13T20:32:59.000Z	keine lokale Zuordnung gefunden
Diamond Rio	One More Day				keine	2	2026-07-14T11:09:49.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Burning Man ft. Brothers Osborne				keine	1	2026-07-15T01:26:12.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Dierks Bentley - Am I The Only One				keine	1	2026-07-14T12:20:34.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Different For Girls				keine	1	2026-07-13T18:07:16.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Domestic, Light And Cold				keine	2	2026-07-15T08:56:35.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Free And Easy (Down The Road I Go)				keine	2	2026-07-15T15:22:25.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Home				keine	2	2026-07-15T16:19:45.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	I Hold On				keine	1	2026-07-13T19:59:26.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Modern Day Drifter				keine	4	2026-07-15T07:55:09.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Say You Do				keine	1	2026-07-13T22:07:28.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Sideways				keine	1	2026-07-15T10:00:58.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Somewhere On A Beach				keine	2	2026-07-15T13:30:01.000Z	keine lokale Zuordnung gefunden
Dierks Bentley	Tip It On Back				keine	1	2026-07-14T17:42:23.000Z	keine lokale Zuordnung gefunden
Dierks Bentley feat. Elle King	Different For Girls				keine	2	2026-07-15T15:33:05.000Z	keine lokale Zuordnung gefunden
Dixie Chicks	If I Fall You're Going Down With Me (with lyrics)				keine	2	2026-07-14T08:10:46.000Z	keine lokale Zuordnung gefunden
